nohup: ignoring input
2025-11-24 19:32:27,085 - [FEDERATION] 📡 Deploying to AWS (us-east-1)...
2025-11-24 19:32:27,086 - [FEDERATION] Reported: $10 / 39ms | Status: WINNING
2025-11-24 19:32:32,088 - [FEDERATION] Reported: $14 / 43ms | Status: WINNING
2025-11-24 19:32:37,095 - [FEDERATION] Reported: $11 / 44ms | Status: LOSING
2025-11-24 19:32:42,102 - [FEDERATION] Reported: $16 / 39ms | Status: LOSING
2025-11-24 19:32:47,109 - [FEDERATION] Reported: $17 / 46ms | Status: WINNING
2025-11-24 19:32:52,116 - [FEDERATION] Reported: $17 / 38ms | Status: LOSING
2025-11-24 19:32:57,123 - [FEDERATION] Reported: $10 / 39ms | Status: WINNING
2025-11-24 19:33:02,130 - [FEDERATION] Reported: $11 / 40ms | Status: WINNING
2025-11-24 19:33:07,137 - [FEDERATION] Reported: $17 / 36ms | Status: LOSING
2025-11-24 19:33:12,144 - [FEDERATION] Reported: $13 / 39ms | Status: LOSING
2025-11-24 19:33:17,152 - [FEDERATION] Reported: $9 / 38ms | Status: WINNING
2025-11-24 19:33:22,159 - [FEDERATION] Reported: $10 / 45ms | Status: LOSING
2025-11-24 19:33:27,166 - [FEDERATION] Reported: $12 / 44ms | Status: WINNING
2025-11-24 19:33:32,171 - [FEDERATION] Reported: $10 / 46ms | Status: LOSING
2025-11-24 19:33:37,176 - [FEDERATION] Reported: $16 / 42ms | Status: LOSING
2025-11-24 19:33:42,183 - [FEDERATION] Reported: $10 / 39ms | Status: WINNING
2025-11-24 19:33:47,189 - [FEDERATION] Reported: $13 / 42ms | Status: WINNING
2025-11-24 19:33:52,191 - [FEDERATION] Reported: $15 / 44ms | Status: LOSING
2025-11-24 19:33:57,198 - [FEDERATION] Reported: $9 / 41ms | Status: WINNING
2025-11-24 19:34:02,205 - [FEDERATION] Reported: $13 / 41ms | Status: WINNING
2025-11-24 19:34:07,212 - [FEDERATION] Reported: $16 / 37ms | Status: LOSING
2025-11-24 19:34:12,219 - [FEDERATION] Reported: $10 / 38ms | Status: WINNING
2025-11-24 19:34:17,223 - [FEDERATION] Reported: $13 / 46ms | Status: WINNING
2025-11-24 19:34:22,228 - [FEDERATION] Reported: $10 / 37ms | Status: WINNING
2025-11-24 19:34:27,235 - [FEDERATION] Reported: $17 / 47ms | Status: WINNING
2025-11-24 19:34:32,242 - [FEDERATION] Reported: $12 / 41ms | Status: LOSING
2025-11-24 19:34:37,249 - [FEDERATION] Reported: $10 / 43ms | Status: WINNING
2025-11-24 19:34:42,257 - [FEDERATION] Reported: $11 / 39ms | Status: WINNING
2025-11-24 19:34:47,264 - [FEDERATION] Reported: $16 / 47ms | Status: LOSING
2025-11-24 19:34:52,270 - [FEDERATION] Reported: $13 / 40ms | Status: LOSING
2025-11-24 19:34:57,276 - [FEDERATION] Reported: $12 / 39ms | Status: LOSING
2025-11-24 19:35:02,280 - [FEDERATION] Reported: $16 / 46ms | Status: LOSING
2025-11-24 19:35:07,286 - [FEDERATION] Reported: $17 / 37ms | Status: LOSING
2025-11-24 19:35:12,292 - [FEDERATION] Reported: $15 / 37ms | Status: WINNING
2025-11-24 19:35:17,299 - [FEDERATION] Reported: $13 / 36ms | Status: WINNING
2025-11-24 19:35:22,304 - [FEDERATION] Reported: $12 / 39ms | Status: WINNING
2025-11-24 19:35:27,310 - [FEDERATION] Reported: $12 / 47ms | Status: WINNING
2025-11-24 19:35:32,317 - [FEDERATION] Reported: $14 / 38ms | Status: WINNING
2025-11-24 19:35:37,324 - [FEDERATION] Reported: $10 / 41ms | Status: WINNING
2025-11-24 19:35:42,331 - [FEDERATION] Reported: $11 / 45ms | Status: LOSING
2025-11-24 19:35:47,336 - [FEDERATION] Reported: $11 / 37ms | Status: WINNING
2025-11-24 19:35:52,341 - [FEDERATION] Reported: $14 / 39ms | Status: WINNING
2025-11-24 19:35:57,349 - [FEDERATION] Reported: $14 / 45ms | Status: WINNING
2025-11-24 19:36:02,355 - [FEDERATION] Reported: $16 / 37ms | Status: WINNING
2025-11-24 19:36:07,361 - [FEDERATION] Reported: $17 / 47ms | Status: WINNING
2025-11-24 19:36:12,368 - [FEDERATION] Reported: $15 / 37ms | Status: LOSING
2025-11-24 19:36:17,374 - [FEDERATION] Reported: $13 / 38ms | Status: WINNING
2025-11-24 19:36:22,382 - [FEDERATION] Reported: $17 / 45ms | Status: LOSING
2025-11-24 19:36:27,383 - [FEDERATION] Reported: $11 / 37ms | Status: WINNING
2025-11-24 19:36:32,388 - [FEDERATION] Reported: $16 / 36ms | Status: WINNING
2025-11-24 19:36:37,396 - [FEDERATION] Reported: $13 / 43ms | Status: LOSING
2025-11-24 19:36:42,404 - [FEDERATION] Reported: $10 / 37ms | Status: WINNING
2025-11-24 19:36:47,408 - [FEDERATION] Reported: $12 / 47ms | Status: LOSING
2025-11-24 19:36:52,414 - [FEDERATION] Reported: $10 / 41ms | Status: WINNING
2025-11-24 19:36:57,421 - [FEDERATION] Reported: $11 / 41ms | Status: WINNING
2025-11-24 19:37:02,429 - [FEDERATION] Reported: $14 / 44ms | Status: LOSING
2025-11-24 19:37:07,434 - [FEDERATION] Reported: $13 / 43ms | Status: LOSING
2025-11-24 19:37:12,443 - [FEDERATION] Reported: $11 / 37ms | Status: WINNING
2025-11-24 19:37:17,449 - [FEDERATION] Reported: $13 / 40ms | Status: WINNING
2025-11-24 19:37:22,454 - [FEDERATION] Reported: $14 / 37ms | Status: WINNING
2025-11-24 19:37:27,460 - [FEDERATION] Reported: $10 / 40ms | Status: WINNING
2025-11-24 19:37:32,466 - [FEDERATION] Reported: $17 / 47ms | Status: WINNING
2025-11-24 19:37:37,471 - [FEDERATION] Reported: $13 / 39ms | Status: LOSING
