nohup: ignoring input
2025-11-24 19:32:27,110 - [FEDERATION] 📡 Deploying to GCP (us-west-1)...
2025-11-24 19:32:27,110 - [FEDERATION] Reported: $14 / 48ms | Status: LOSING
2025-11-24 19:32:32,116 - [FEDERATION] Reported: $8 / 47ms | Status: WINNING
2025-11-24 19:32:37,122 - [FEDERATION] Reported: $8 / 46ms | Status: WINNING
2025-11-24 19:32:42,128 - [FEDERATION] Reported: $8 / 51ms | Status: WINNING
2025-11-24 19:32:47,133 - [FEDERATION] Reported: $14 / 52ms | Status: WINNING
2025-11-24 19:32:52,139 - [FEDERATION] Reported: $8 / 52ms | Status: WINNING
2025-11-24 19:32:57,145 - [FEDERATION] Reported: $9 / 54ms | Status: LOSING
2025-11-24 19:33:02,151 - [FEDERATION] Reported: $8 / 58ms | Status: LOSING
2025-11-24 19:33:07,156 - [FEDERATION] Reported: $11 / 56ms | Status: LOSING
2025-11-24 19:33:12,162 - [FEDERATION] Reported: $13 / 59ms | Status: LOSING
2025-11-24 19:33:17,168 - [FEDERATION] Reported: $8 / 47ms | Status: LOSING
2025-11-24 19:33:22,174 - [FEDERATION] Reported: $11 / 59ms | Status: LOSING
2025-11-24 19:33:27,179 - [FEDERATION] Reported: $8 / 45ms | Status: WINNING
2025-11-24 19:33:32,185 - [FEDERATION] Reported: $9 / 55ms | Status: LOSING
2025-11-24 19:33:37,190 - [FEDERATION] Reported: $11 / 56ms | Status: LOSING
2025-11-24 19:33:42,196 - [FEDERATION] Reported: $14 / 46ms | Status: LOSING
2025-11-24 19:33:47,201 - [FEDERATION] Reported: $11 / 46ms | Status: WINNING
2025-11-24 19:33:52,207 - [FEDERATION] Reported: $9 / 50ms | Status: WINNING
2025-11-24 19:33:57,213 - [FEDERATION] Reported: $11 / 58ms | Status: LOSING
2025-11-24 19:34:02,218 - [FEDERATION] Reported: $10 / 59ms | Status: LOSING
2025-11-24 19:34:07,223 - [FEDERATION] Reported: $13 / 56ms | Status: LOSING
2025-11-24 19:34:12,230 - [FEDERATION] Reported: $12 / 58ms | Status: WINNING
2025-11-24 19:34:17,234 - [FEDERATION] Reported: $13 / 58ms | Status: LOSING
2025-11-24 19:34:22,240 - [FEDERATION] Reported: $10 / 57ms | Status: LOSING
2025-11-24 19:34:27,245 - [FEDERATION] Reported: $9 / 45ms | Status: WINNING
2025-11-24 19:34:32,251 - [FEDERATION] Reported: $14 / 53ms | Status: LOSING
2025-11-24 19:34:37,254 - [FEDERATION] Reported: $9 / 56ms | Status: LOSING
2025-11-24 19:34:42,260 - [FEDERATION] Reported: $8 / 56ms | Status: WINNING
2025-11-24 19:34:47,262 - [FEDERATION] Reported: $13 / 46ms | Status: WINNING
2025-11-24 19:34:52,270 - [FEDERATION] Reported: $14 / 45ms | Status: WINNING
2025-11-24 19:34:57,276 - [FEDERATION] Reported: $9 / 45ms | Status: WINNING
2025-11-24 19:35:02,283 - [FEDERATION] Reported: $11 / 51ms | Status: LOSING
2025-11-24 19:35:07,289 - [FEDERATION] Reported: $12 / 48ms | Status: LOSING
2025-11-24 19:35:12,292 - [FEDERATION] Reported: $8 / 56ms | Status: WINNING
2025-11-24 19:35:17,299 - [FEDERATION] Reported: $11 / 47ms | Status: WINNING
2025-11-24 19:35:22,305 - [FEDERATION] Reported: $12 / 48ms | Status: LOSING
2025-11-24 19:35:27,310 - [FEDERATION] Reported: $8 / 45ms | Status: WINNING
2025-11-24 19:35:32,317 - [FEDERATION] Reported: $12 / 53ms | Status: WINNING
2025-11-24 19:35:37,322 - [FEDERATION] Reported: $8 / 58ms | Status: WINNING
2025-11-24 19:35:42,330 - [FEDERATION] Reported: $8 / 56ms | Status: LOSING
2025-11-24 19:35:47,333 - [FEDERATION] Reported: $13 / 50ms | Status: LOSING
2025-11-24 19:35:52,340 - [FEDERATION] Reported: $14 / 46ms | Status: LOSING
2025-11-24 19:35:57,347 - [FEDERATION] Reported: $13 / 45ms | Status: LOSING
2025-11-24 19:36:02,354 - [FEDERATION] Reported: $9 / 46ms | Status: WINNING
2025-11-24 19:36:07,361 - [FEDERATION] Reported: $14 / 49ms | Status: LOSING
2025-11-24 19:36:12,367 - [FEDERATION] Reported: $10 / 45ms | Status: WINNING
2025-11-24 19:36:17,372 - [FEDERATION] Reported: $13 / 50ms | Status: LOSING
2025-11-24 19:36:22,380 - [FEDERATION] Reported: $12 / 46ms | Status: LOSING
2025-11-24 19:36:27,387 - [FEDERATION] Reported: $13 / 50ms | Status: LOSING
2025-11-24 19:36:32,392 - [FEDERATION] Reported: $11 / 49ms | Status: LOSING
2025-11-24 19:36:37,397 - [FEDERATION] Reported: $10 / 49ms | Status: LOSING
2025-11-24 19:36:42,403 - [FEDERATION] Reported: $9 / 56ms | Status: LOSING
2025-11-24 19:36:47,410 - [FEDERATION] Reported: $11 / 45ms | Status: LOSING
2025-11-24 19:36:52,414 - [FEDERATION] Reported: $11 / 56ms | Status: LOSING
2025-11-24 19:36:57,421 - [FEDERATION] Reported: $13 / 52ms | Status: LOSING
2025-11-24 19:37:02,428 - [FEDERATION] Reported: $8 / 57ms | Status: WINNING
2025-11-24 19:37:07,434 - [FEDERATION] Reported: $10 / 49ms | Status: WINNING
2025-11-24 19:37:12,442 - [FEDERATION] Reported: $10 / 46ms | Status: WINNING
2025-11-24 19:37:17,445 - [FEDERATION] Reported: $11 / 50ms | Status: WINNING
2025-11-24 19:37:22,450 - [FEDERATION] Reported: $14 / 52ms | Status: WINNING
2025-11-24 19:37:27,455 - [FEDERATION] Reported: $12 / 45ms | Status: LOSING
2025-11-24 19:37:32,461 - [FEDERATION] Reported: $14 / 59ms | Status: LOSING
2025-11-24 19:37:37,467 - [FEDERATION] Reported: $8 / 56ms | Status: WINNING
