nohup: ignoring input
2025-11-24 19:32:27,111 - [FEDERATION] 📡 Deploying to AZURE (eu-west-2)...
2025-11-24 19:32:27,112 - [FEDERATION] Reported: $10 / 73ms | Status: LOSING
2025-11-24 19:32:32,116 - [FEDERATION] Reported: $8 / 91ms | Status: LOSING
2025-11-24 19:32:37,122 - [FEDERATION] Reported: $8 / 91ms | Status: LOSING
2025-11-24 19:32:42,128 - [FEDERATION] Reported: $10 / 79ms | Status: LOSING
2025-11-24 19:32:47,133 - [FEDERATION] Reported: $8 / 73ms | Status: WINNING
2025-11-24 19:32:52,139 - [FEDERATION] Reported: $8 / 82ms | Status: LOSING
2025-11-24 19:32:57,145 - [FEDERATION] Reported: $8 / 83ms | Status: WINNING
2025-11-24 19:33:02,151 - [FEDERATION] Reported: $6 / 82ms | Status: LOSING
2025-11-24 19:33:07,156 - [FEDERATION] Reported: $11 / 88ms | Status: LOSING
2025-11-24 19:33:12,161 - [FEDERATION] Reported: $10 / 76ms | Status: LOSING
2025-11-24 19:33:17,167 - [FEDERATION] Reported: $8 / 87ms | Status: LOSING
2025-11-24 19:33:22,172 - [FEDERATION] Reported: $8 / 84ms | Status: LOSING
2025-11-24 19:33:27,178 - [FEDERATION] Reported: $8 / 85ms | Status: LOSING
2025-11-24 19:33:32,183 - [FEDERATION] Reported: $9 / 79ms | Status: LOSING
2025-11-24 19:33:37,189 - [FEDERATION] Reported: $7 / 83ms | Status: LOSING
2025-11-24 19:33:42,194 - [FEDERATION] Reported: $11 / 94ms | Status: LOSING
2025-11-24 19:33:47,200 - [FEDERATION] Reported: $6 / 85ms | Status: WINNING
2025-11-24 19:33:52,205 - [FEDERATION] Reported: $7 / 91ms | Status: LOSING
2025-11-24 19:33:57,211 - [FEDERATION] Reported: $11 / 92ms | Status: LOSING
2025-11-24 19:34:02,217 - [FEDERATION] Reported: $7 / 92ms | Status: LOSING
2025-11-24 19:34:07,223 - [FEDERATION] Reported: $7 / 76ms | Status: WINNING
2025-11-24 19:34:12,229 - [FEDERATION] Reported: $7 / 86ms | Status: LOSING
2025-11-24 19:34:17,234 - [FEDERATION] Reported: $8 / 89ms | Status: LOSING
2025-11-24 19:34:22,240 - [FEDERATION] Reported: $11 / 94ms | Status: LOSING
2025-11-24 19:34:27,242 - [FEDERATION] Reported: $6 / 83ms | Status: WINNING
2025-11-24 19:34:32,247 - [FEDERATION] Reported: $7 / 90ms | Status: LOSING
2025-11-24 19:34:37,254 - [FEDERATION] Reported: $9 / 87ms | Status: LOSING
2025-11-24 19:34:42,260 - [FEDERATION] Reported: $10 / 94ms | Status: LOSING
2025-11-24 19:34:47,265 - [FEDERATION] Reported: $9 / 88ms | Status: LOSING
2025-11-24 19:34:52,271 - [FEDERATION] Reported: $8 / 87ms | Status: LOSING
2025-11-24 19:34:57,278 - [FEDERATION] Reported: $6 / 85ms | Status: WINNING
2025-11-24 19:35:02,283 - [FEDERATION] Reported: $7 / 72ms | Status: WINNING
2025-11-24 19:35:07,290 - [FEDERATION] Reported: $9 / 77ms | Status: LOSING
2025-11-24 19:35:12,293 - [FEDERATION] Reported: $10 / 82ms | Status: LOSING
2025-11-24 19:35:17,300 - [FEDERATION] Reported: $11 / 84ms | Status: LOSING
2025-11-24 19:35:22,307 - [FEDERATION] Reported: $10 / 81ms | Status: WINNING
2025-11-24 19:35:27,312 - [FEDERATION] Reported: $9 / 86ms | Status: WINNING
2025-11-24 19:35:32,318 - [FEDERATION] Reported: $10 / 81ms | Status: LOSING
2025-11-24 19:35:37,322 - [FEDERATION] Reported: $8 / 72ms | Status: LOSING
2025-11-24 19:35:42,331 - [FEDERATION] Reported: $9 / 75ms | Status: LOSING
2025-11-24 19:35:47,333 - [FEDERATION] Reported: $7 / 89ms | Status: LOSING
2025-11-24 19:35:52,340 - [FEDERATION] Reported: $11 / 86ms | Status: LOSING
2025-11-24 19:35:57,349 - [FEDERATION] Reported: $9 / 81ms | Status: LOSING
2025-11-24 19:36:02,355 - [FEDERATION] Reported: $10 / 94ms | Status: LOSING
2025-11-24 19:36:07,361 - [FEDERATION] Reported: $11 / 72ms | Status: WINNING
2025-11-24 19:36:12,367 - [FEDERATION] Reported: $7 / 85ms | Status: WINNING
2025-11-24 19:36:17,372 - [FEDERATION] Reported: $8 / 73ms | Status: LOSING
2025-11-24 19:36:22,379 - [FEDERATION] Reported: $8 / 90ms | Status: LOSING
2025-11-24 19:36:27,383 - [FEDERATION] Reported: $6 / 72ms | Status: WINNING
2025-11-24 19:36:32,388 - [FEDERATION] Reported: $9 / 72ms | Status: LOSING
2025-11-24 19:36:37,396 - [FEDERATION] Reported: $7 / 93ms | Status: LOSING
2025-11-24 19:36:42,403 - [FEDERATION] Reported: $11 / 81ms | Status: LOSING
2025-11-24 19:36:47,408 - [FEDERATION] Reported: $11 / 78ms | Status: LOSING
2025-11-24 19:36:52,415 - [FEDERATION] Reported: $10 / 78ms | Status: LOSING
2025-11-24 19:36:57,422 - [FEDERATION] Reported: $7 / 90ms | Status: WINNING
2025-11-24 19:37:02,429 - [FEDERATION] Reported: $7 / 78ms | Status: WINNING
2025-11-24 19:37:07,435 - [FEDERATION] Reported: $8 / 89ms | Status: LOSING
2025-11-24 19:37:12,443 - [FEDERATION] Reported: $10 / 87ms | Status: WINNING
2025-11-24 19:37:17,449 - [FEDERATION] Reported: $7 / 77ms | Status: WINNING
2025-11-24 19:37:22,450 - [FEDERATION] Reported: $10 / 88ms | Status: WINNING
2025-11-24 19:37:27,455 - [FEDERATION] Reported: $11 / 78ms | Status: LOSING
2025-11-24 19:37:32,461 - [FEDERATION] Reported: $8 / 90ms | Status: LOSING
2025-11-24 19:37:37,464 - [FEDERATION] Reported: $9 / 91ms | Status: LOSING
