nohup: ignoring input
--- THE SOVEREIGN (METABOLIC REGULATOR) ONLINE ---
[16:30:51][SOVEREIGN] Balance: 99.99 MISO | Status: SOLVENT
[16:31:01][SOVEREIGN] Balance: 99.94 MISO | Status: SOLVENT
[16:31:03][SOVEREIGN] Balance: 99.93 MISO | Status: SOLVENT
[16:31:07][SOVEREIGN] Balance: 99.91 MISO | Status: SOLVENT
[16:31:09][SOVEREIGN] Balance: 99.9 MISO | Status: SOLVENT
[16:31:11][SOVEREIGN] Balance: 99.89 MISO | Status: SOLVENT
[16:31:17][SOVEREIGN] Balance: 99.86 MISO | Status: SOLVENT
[16:31:27][SOVEREIGN] Balance: 99.81 MISO | Status: SOLVENT
[16:31:39][SOVEREIGN] Balance: 99.75 MISO | Status: SOLVENT
[16:31:51][SOVEREIGN] Balance: 99.69 MISO | Status: SOLVENT
[16:32:04][SOVEREIGN] Balance: 99.63 MISO | Status: SOLVENT
[16:32:20][SOVEREIGN] Balance: 99.55 MISO | Status: SOLVENT
[16:32:28][SOVEREIGN] Balance: 99.51 MISO | Status: SOLVENT
[16:32:34][SOVEREIGN] Balance: 99.48 MISO | Status: SOLVENT
[16:32:36][SOVEREIGN] Balance: 99.47 MISO | Status: SOLVENT
[16:32:48][SOVEREIGN] Balance: 99.41 MISO | Status: SOLVENT
[16:32:50][SOVEREIGN] Balance: 99.4 MISO | Status: SOLVENT
[16:33:12][SOVEREIGN] Balance: 99.29 MISO | Status: SOLVENT
[16:33:18][SOVEREIGN] Balance: 99.26 MISO | Status: SOLVENT
[16:33:24][SOVEREIGN] Balance: 99.23 MISO | Status: SOLVENT
[16:33:26][SOVEREIGN] Balance: 99.22 MISO | Status: SOLVENT
[16:33:34][SOVEREIGN] Balance: 99.18 MISO | Status: SOLVENT
[16:33:38][SOVEREIGN] Balance: 99.16 MISO | Status: SOLVENT
[16:33:44][SOVEREIGN] Balance: 99.13 MISO | Status: SOLVENT
[16:33:56][SOVEREIGN] Balance: 99.07 MISO | Status: SOLVENT
[16:34:00][SOVEREIGN] Balance: 99.05 MISO | Status: SOLVENT
[16:34:02][SOVEREIGN] Balance: 99.04 MISO | Status: SOLVENT
[16:34:20][SOVEREIGN] Balance: 98.95 MISO | Status: SOLVENT
[16:34:24][SOVEREIGN] Balance: 98.93 MISO | Status: SOLVENT
[16:34:48][SOVEREIGN] Balance: 98.81 MISO | Status: SOLVENT
[16:35:02][SOVEREIGN] Balance: 98.74 MISO | Status: SOLVENT
[16:35:04][SOVEREIGN] Balance: 98.73 MISO | Status: SOLVENT
[16:35:08][SOVEREIGN] Balance: 98.71 MISO | Status: SOLVENT
[16:35:16][SOVEREIGN] Balance: 98.67 MISO | Status: SOLVENT
[16:35:18][SOVEREIGN] Balance: 98.66 MISO | Status: SOLVENT
[16:35:20][SOVEREIGN] Balance: 98.65 MISO | Status: SOLVENT
[16:35:30][SOVEREIGN] Balance: 98.6 MISO | Status: SOLVENT
[16:35:48][SOVEREIGN] Balance: 98.51 MISO | Status: SOLVENT
[16:35:58][SOVEREIGN] Balance: 98.46 MISO | Status: SOLVENT
[16:36:08][SOVEREIGN] Balance: 98.41 MISO | Status: SOLVENT
[16:36:14][SOVEREIGN] Balance: 98.38 MISO | Status: SOLVENT
[16:36:20][SOVEREIGN] Balance: 98.35 MISO | Status: SOLVENT
[16:36:24][SOVEREIGN] Balance: 98.33 MISO | Status: SOLVENT
[16:36:30][SOVEREIGN] Balance: 98.3 MISO | Status: SOLVENT
